d_t	SM1	ST1	SM2	ST2	SM3	ST3	SM4	ST4	SM5	ST5	SM6	ST6
2015-12-26 00:00:00	13.2	7.48	39.02	7.16	30.8	7.47	37.66	7.24	31.92	7.41	43.41	7.2
2015-12-26 00:06:00	13.2	7.46	39.02	7.16	30.8	7.46	37.66	7.23	31.92	7.45	43.4	7.2
2015-12-26 00:12:00	13.2	7.51	39.02	7.13	30.8	7.42	37.65	7.25	31.92	7.45	43.41	7.21
2015-12-26 00:18:00	13.2	7.49	39.02	7.14	30.8	7.46	37.65	7.26	31.91	7.43	43.4	7.22
2015-12-26 00:24:00	13.2	7.48	39.02	7.16	30.8	7.47	37.66	7.26	31.91	7.45	43.41	7.22
2015-12-26 00:30:00	13.2	7.48	39.02	7.13	30.8	7.45	37.65	7.24	31.91	7.45	43.4	7.21
2015-12-26 00:36:00	13.21	7.52	39.02	7.14	30.8	7.48	37.66	7.21	31.91	7.43	43.41	7.21
2015-12-26 00:42:00	13.2	7.48	39.02	7.16	30.8	7.48	37.65	7.26	31.91	7.45	43.41	7.22
2015-12-26 00:48:00	13.2	7.48	39.02	7.14	30.8	7.46	37.65	7.23	31.91	7.45	43.4	7.25
2015-12-26 00:54:00	13.2	7.51	39.02	7.14	30.8	7.51	37.65	7.25	31.91	7.43	43.4	7.24
2015-12-26 01:00:00	13.2	7.52	39.02	7.12	30.8	7.49	37.65	7.25	31.91	7.47	43.4	7.23
2015-12-26 01:06:00	13.2	7.49	39.02	7.16	30.79	7.47	37.65	7.22	31.91	7.46	43.4	7.23
2015-12-26 01:12:00	13.2	7.52	39.02	7.14	30.79	7.51	37.65	7.25	31.91	7.48	43.41	7.24
2015-12-26 01:18:00	13.19	7.55	39.02	7.16	30.79	7.51	37.65	7.26	31.91	7.43	43.4	7.23
2015-12-26 01:24:00	13.2	7.53	39.02	7.17	30.79	7.5	37.66	7.24	31.91	7.48	43.41	7.27
2015-12-26 01:30:00	13.2	7.53	39.02	7.14	30.79	7.51	37.66	7.2	31.91	7.48	43.41	7.24
2015-12-26 01:36:00	13.2	7.51	39.02	7.16	30.79	7.53	37.66	7.24	31.91	7.46	43.4	7.24
2015-12-26 01:42:00	13.2	7.57	39.02	7.15	30.79	7.51	37.66	7.24	31.91	7.5	43.41	7.25
2015-12-26 01:48:00	13.19	7.55	39.02	7.16	30.79	7.53	37.66	7.26	31.91	7.47	43.4	7.23
2015-12-26 01:54:00	13.19	7.52	39.02	7.16	30.79	7.53	37.65	7.27	31.91	7.49	43.4	7.25
2015-12-26 02:00:00	13.19	7.59	39.02	7.16	30.79	7.57	37.65	7.27	31.91	7.47	43.4	7.27
2015-12-26 02:06:00	13.19	7.54	39.01	7.17	30.79	7.5	37.66	7.24	31.91	7.48	43.4	7.25
2015-12-26 02:12:00	13.19	7.55	39.01	7.19	30.79	7.58	37.65	7.27	31.91	7.49	43.4	7.26
2015-12-26 02:18:00	13.19	7.59	39.01	7.17	30.79	7.53	37.65	7.24	31.91	7.48	43.4	7.26
2015-12-26 02:24:00	13.19	7.61	39.01	7.14	30.78	7.55	37.65	7.24	31.92	7.5	43.4	7.26
2015-12-26 02:30:00	13.19	7.59	39.01	7.17	30.79	7.56	37.65	7.27	31.92	7.52	43.4	7.27
2015-12-26 02:36:00	13.19	7.6	39.01	7.17	30.78	7.54	37.65	7.24	31.91	7.52	43.4	7.24
2015-12-26 02:42:00	13.19	7.61	39.01	7.17	30.79	7.55	37.64	7.29	31.9	7.5	43.4	7.3
2015-12-26 02:48:00	13.19	7.59	39.01	7.16	30.79	7.56	37.64	7.24	31.91	7.54	43.4	7.25
2015-12-26 02:54:00	13.19	7.59	39.01	7.19	30.78	7.57	37.64	7.26	31.91	7.52	43.4	7.23
2015-12-26 03:00:00	13.19	7.6	39.01	7.19	30.78	7.56	37.64	7.27	31.91	7.51	43.4	7.26
2015-12-26 03:06:00	13.19	7.63	39.01	7.18	30.79	7.57	37.64	7.25	31.91	7.52	43.4	7.25
2015-12-26 03:12:00	13.19	7.62	39.01	7.16	30.79	7.57	37.64	7.31	31.9	7.5	43.4	7.26
2015-12-26 03:18:00	13.19	7.63	39.01	7.2	30.79	7.56	37.64	7.25	31.91	7.52	43.4	7.23
2015-12-26 03:24:00	13.19	7.61	39.01	7.19	30.79	7.56	37.63	7.3	31.91	7.52	43.4	7.24
2015-12-26 03:30:00	13.19	7.61	39.01	7.16	30.79	7.6	37.63	7.26	31.91	7.53	43.4	7.27
2015-12-26 03:36:00	13.19	7.64	39.01	7.16	30.79	7.55	37.63	7.29	31.91	7.56	43.4	7.27
2015-12-26 03:42:00	13.19	7.63	39.01	7.18	30.79	7.63	37.63	7.27	31.91	7.58	43.4	7.25
2015-12-26 03:48:00	13.19	7.61	39.01	7.2	30.79	7.6	37.63	7.27	31.91	7.56	43.4	7.27
2015-12-26 03:48:00	13.19	7.61	39.01	7.2	30.79	7.6	37.63	7.27	31.91	7.56	43.4	7.29
2015-12-26 04:00:00	13.19	7.63	39.01	7.19	30.79	7.59	37.66	7.27	31.91	7.59	43.4	7.27
2015-12-26 04:06:00	13.19	7.63	39.01	7.18	30.79	7.57	37.66	7.26	31.91	7.53	43.4	7.27
2015-12-26 04:18:00	13.19	7.63	39.01	7.19	30.79	7.59	37.65	7.26	31.91	7.56	43.4	7.29
2015-12-26 04:24:00	13.19	7.63	39.01	7.2	30.8	7.59	37.65	7.3	31.91	7.55	43.4	7.28
2015-12-26 04:30:00	13.19	7.61	39.0	7.23	30.8	7.61	37.65	7.28	31.91	7.56	43.4	7.3
2015-12-26 04:36:00	13.19	7.65	39.01	7.21	30.8	7.62	37.65	7.28	31.91	7.56	43.4	7.29
2015-12-26 04:42:00	13.19	7.64	39.0	7.2	30.8	7.57	37.65	7.3	31.91	7.58	43.4	7.29
2015-12-26 04:48:00	13.19	7.64	39.0	7.16	30.8	7.6	37.64	7.28	31.91	7.59	43.4	7.3
2015-12-26 04:54:00	13.19	7.63	39.01	7.2	30.79	7.6	37.64	7.29	31.91	7.57	43.4	7.28
2015-12-26 05:00:00	13.19	7.65	39.0	7.2	30.79	7.59	37.64	7.28	31.91	7.55	43.4	7.25
2015-12-26 05:06:00	13.19	7.63	39.01	7.2	30.79	7.6	37.64	7.32	31.91	7.59	43.4	7.3
2015-12-26 05:12:00	13.19	7.64	39.0	7.21	30.79	7.59	37.63	7.3	31.91	7.57	43.4	7.27
2015-12-26 05:18:00	13.19	7.66	39.0	7.18	30.79	7.59	37.63	7.3	31.9	7.57	43.4	7.27
2015-12-26 05:24:00	13.19	7.66	39.0	7.19	30.79	7.6	37.63	7.29	31.9	7.59	43.4	7.3
2015-12-26 05:30:00	13.19	7.65	39.01	7.19	30.79	7.61	37.63	7.29	31.9	7.58	43.4	7.27
2015-12-26 05:36:00	13.18	7.65	39.01	7.23	30.79	7.6	37.63	7.26	31.9	7.58	43.4	7.29
2015-12-26 05:42:00	13.19	7.69	39.01	7.2	30.78	7.61	37.63	7.28	31.9	7.55	43.4	7.28
2015-12-26 05:48:00	13.19	7.64	39.0	7.2	30.78	7.6	37.63	7.3	31.9	7.57	43.4	7.28
2015-12-26 05:54:00	13.19	7.66	39.0	7.21	30.78	7.65	37.63	7.32	31.9	7.59	43.4	7.31
