d_t	SM1	ST1	SM2	ST2	SM3	ST3	SM4	ST4	SM5	ST5	SM6	ST6
2016-06-11 00:00:00	19.58	12.99	30.44	11.98	27.06	12.79	34.65	11.91	29.77	12.74	43.69	12.05
2016-06-11 00:06:00	19.58	12.99	30.44	12.03	27.05	12.77	34.65	11.95	29.77	12.78	43.69	12.07
2016-06-11 00:12:00	19.57	12.98	30.44	12.01	27.05	12.77	34.65	11.95	29.76	12.74	43.69	12.05
2016-06-11 00:24:00	19.57	12.98	30.45	12.03	27.05	12.73	34.65	11.98	29.76	12.7	43.69	12.05
2016-06-11 00:30:00	19.56	12.95	30.45	12.02	27.04	12.74	34.65	11.94	29.75	12.74	43.69	12.04
2016-06-11 00:36:00	19.56	12.98	30.44	12.02	27.02	12.71	34.65	11.93	29.75	12.7	43.69	12.06
2016-06-11 00:42:00	19.55	12.97	30.45	12.02	27.07	12.69	34.65	11.95	29.75	12.67	43.69	12.01
2016-06-11 00:48:00	19.57	12.92	30.45	12.02	27.07	12.69	34.65	11.92	29.74	12.69	43.69	12.05
2016-06-11 00:54:00	19.56	12.95	30.45	12.05	27.07	12.72	34.65	11.89	29.74	12.7	43.68	12.05
2016-06-11 01:00:00	19.56	12.94	30.45	12.05	27.06	12.7	34.64	11.95	29.74	12.68	43.68	12.03
2016-06-11 01:06:00	19.56	12.91	30.45	12.04	27.03	12.66	34.64	11.91	29.74	12.66	43.68	12.09
2016-06-11 01:12:00	19.55	12.88	30.45	12.02	26.96	12.7	34.64	11.91	29.74	12.7	43.68	12.04
2016-06-11 01:18:00	19.55	12.89	30.45	12.0	26.96	12.65	34.64	11.94	29.74	12.65	43.68	12.02
2016-06-11 01:24:00	19.55	12.84	30.45	12.01	26.96	12.66	34.64	11.94	29.73	12.66	43.68	12.04
2016-06-11 01:30:00	19.54	12.9	30.45	12.05	26.96	12.64	34.64	11.93	29.73	12.68	43.68	12.04
2016-06-11 01:36:00	19.54	12.88	30.45	12.05	26.95	12.68	34.64	11.95	29.73	12.68	43.68	12.07
2016-06-11 01:42:00	19.55	12.88	30.45	12.02	26.95	12.66	34.65	11.96	29.72	12.66	43.68	12.05
2016-06-11 01:48:00	19.53	12.84	30.45	12.02	26.94	12.61	34.65	11.95	29.72	12.63	43.68	12.09
2016-06-11 01:54:00	19.52	12.83	30.45	12.02	26.95	12.62	34.64	11.95	29.71	12.67	43.68	12.08
2016-06-11 02:00:00	19.52	12.88	30.45	12.02	26.95	12.64	34.63	11.93	29.71	12.63	43.69	12.08
2016-06-11 02:06:00	19.5	12.84	30.45	12.03	26.94	12.61	34.63	11.98	29.71	12.63	43.75	12.05
2016-06-11 02:12:00	19.5	12.88	30.45	12.01	26.94	12.61	34.63	11.98	29.71	12.63	43.82	12.05
2016-06-11 02:18:00	19.5	12.83	30.45	12.01	26.93	12.61	34.64	11.98	29.7	12.65	43.7	12.06
2016-06-11 02:24:00	19.5	12.84	30.45	12.03	26.92	12.63	34.64	11.95	29.7	12.63	43.68	12.07
2016-06-11 02:30:00	19.51	12.83	30.45	12.02	26.92	12.63	34.64	11.93	29.7	12.6	43.68	12.04
2016-06-11 02:36:00	19.52	12.81	30.45	12.02	26.92	12.63	34.64	11.92	29.7	12.63	43.68	12.05
2016-06-11 02:42:00	19.51	12.8	30.45	12.02	26.91	12.59	34.63	11.95	29.69	12.59	43.79	12.05
2016-06-11 02:48:00	19.5	12.83	30.45	12.03	26.91	12.57	34.63	11.95	29.69	12.59	43.68	12.05
2016-06-11 02:54:00	19.5	12.8	30.45	12.02	26.91	12.57	34.63	11.95	29.69	12.57	43.66	12.05
2016-06-11 03:00:00	19.5	12.79	30.45	12.05	26.9	12.59	34.63	11.95	29.69	12.59	43.66	12.06
2016-06-11 03:06:00	19.5	12.77	30.46	12.05	26.9	12.59	34.63	11.93	29.69	12.59	43.7	12.05
2016-06-11 03:12:00	19.5	12.76	30.45	12.04	26.89	12.54	34.63	11.96	29.69	12.59	43.66	12.03
2016-06-11 03:18:00	19.51	12.79	30.46	12.02	26.89	12.55	34.63	11.95	29.68	12.59	43.66	12.04
2016-06-11 03:24:00	19.53	12.76	30.46	12.01	26.89	12.54	34.63	11.96	29.68	12.58	43.66	12.03
2016-06-11 03:30:00	19.57	12.73	30.46	12.02	26.89	12.52	34.62	11.94	29.68	12.56	43.66	12.07
2016-06-11 03:36:00	19.54	12.73	30.46	12.01	26.89	12.55	34.62	11.95	29.67	12.59	43.66	12.07
2016-06-11 03:42:00	19.49	12.74	30.46	12.02	26.89	12.57	34.62	11.96	29.68	12.52	43.66	12.05
2016-06-11 03:48:00	19.48	12.73	30.46	12.03	26.89	12.54	34.61	11.92	29.68	12.55	43.66	12.05
2016-06-11 03:54:00	19.47	12.73	30.46	12.0	26.89	12.51	34.61	11.95	29.67	12.55	43.66	12.07
2016-06-11 04:00:00	19.46	12.72	30.46	12.02	26.88	12.5	34.61	11.95	29.67	12.54	43.66	12.05
2016-06-11 04:06:00	19.46	12.71	30.46	11.97	26.88	12.54	34.61	11.95	29.67	12.55	43.66	12.05
2016-06-11 04:12:00	19.48	12.73	30.46	12.02	26.88	12.51	34.61	11.92	29.67	12.55	43.66	12.06
2016-06-11 04:18:00	19.68	12.7	30.46	12.01	26.88	12.49	34.61	11.93	29.66	12.51	43.66	12.05
2016-06-11 04:24:00	19.75	12.67	30.46	12.02	26.87	12.5	34.61	11.93	29.66	12.52	43.65	12.04
2016-06-11 04:30:00	19.56	12.73	30.46	12.03	26.87	12.51	34.61	11.93	29.66	12.52	43.65	12.06
2016-06-11 04:36:00	19.48	12.69	30.46	12.03	26.87	12.5	34.61	11.95	29.65	12.52	43.65	12.07
2016-06-11 04:42:00	19.44	12.68	30.46	12.03	26.86	12.45	34.6	11.92	29.65	12.51	43.65	12.06
2016-06-11 04:48:00	19.43	12.7	30.46	12.02	26.86	12.48	34.6	11.95	29.65	12.48	43.65	12.08
2016-06-11 04:54:00	19.61	12.65	30.46	12.04	26.85	12.46	34.6	11.94	29.65	12.52	43.65	12.05
2016-06-11 05:00:00	19.6	12.7	30.46	12.0	26.85	12.47	34.6	11.91	29.64	12.48	43.65	12.05
2016-06-11 05:06:00	19.74	12.63	30.46	12.03	26.85	12.45	34.6	11.95	29.64	12.47	43.65	12.08
2016-06-11 05:12:00	19.78	12.63	30.46	11.98	26.85	12.4	34.6	11.95	29.64	12.49	43.65	12.04
2016-06-11 05:18:00	19.79	12.64	30.46	12.0	26.84	12.47	34.6	11.94	29.63	12.49	43.65	12.03
2016-06-11 05:24:00	19.81	12.62	30.46	12.0	26.84	12.44	34.6	11.92	29.63	12.44	43.65	12.05
2016-06-11 05:30:00	19.82	12.63	30.46	12.02	26.84	12.47	34.6	11.93	29.63	12.47	43.65	12.02
2016-06-11 05:36:00	19.73	12.58	30.46	12.0	26.83	12.43	34.59	11.92	29.62	12.45	43.65	12.04
2016-06-11 05:42:00	19.8	12.62	30.46	11.99	26.83	12.42	34.59	11.95	29.62	12.45	43.65	12.02
2016-06-11 05:48:00	19.79	12.6	30.46	11.99	26.83	12.41	34.59	11.9	29.62	12.43	43.65	12.05
2016-06-11 05:54:00	19.87	12.59	30.46	11.98	26.83	12.41	34.59	11.95	29.61	12.45	43.65	12.03
2016-06-11 06:00:00	19.87	12.58	30.46	12.01	26.83	12.38	34.59	11.91	29.61	12.43	43.65	12.06
2016-06-11 06:06:00	19.88	12.61	30.46	12.0	26.83	12.4	34.59	11.88	29.61	12.45	43.65	12.05
2016-06-11 06:12:00	19.9	12.55	30.46	12.03	26.83	12.4	34.59	11.9	29.6	12.45	43.65	12.0
2016-06-11 06:18:00	19.9	12.56	30.46	11.98	26.83	12.39	34.58	11.93	29.61	12.42	43.65	12.03
2016-06-11 06:24:00	20.03	12.56	30.46	12.0	26.83	12.34	34.58	11.9	29.61	12.43	43.65	12.03
2016-06-11 06:30:00	19.93	12.55	30.46	12.0	26.83	12.37	34.58	11.93	29.6	12.44	43.65	12.04
2016-06-11 06:36:00	19.91	12.55	30.46	11.95	26.82	12.35	34.58	11.93	29.6	12.44	43.65	12.02
2016-06-11 06:42:00	19.83	12.54	30.46	12.02	26.82	12.39	34.58	11.91	29.6	12.41	43.64	12.0
2016-06-11 06:48:00	19.74	12.55	30.46	11.98	26.82	12.37	34.58	11.91	29.59	12.42	43.64	12.04
2016-06-11 06:54:00	19.84	12.53	30.46	11.96	26.82	12.38	34.58	11.92	29.59	12.4	43.64	12.02
2016-06-11 07:00:00	19.83	12.55	30.46	11.97	26.81	12.38	34.58	11.91	29.59	12.35	43.64	12.03
2016-06-11 07:06:00	19.99	12.54	30.46	11.95	26.81	12.31	34.57	11.93	29.58	12.41	43.64	12.04
2016-06-11 07:12:00	19.59	12.55	30.46	11.98	26.81	12.34	34.57	11.92	29.58	12.41	43.64	11.99
